word,nbhd_dist_100,word2vec_recipe_base_nbhd_dist_100,ambiguity_type
efficient,0.4639116260007986,0.2854588,P
torch,0.5737637390718326,0.48345685,P
sharp,0.5369381666332067,0.37243417,P
gum,0.4406663126579603,0.4017353,H
gopher,0.4675331887501568,0.23571622,P
speed,0.5171012938491518,0.41254422,P
unmarked,0.4796109447777411,0.2119376,M
classical,0.4443903599995269,0.22806233,P
doll,0.4329169127222401,0.28094515,P
penalty,0.4947070243279172,0.19414917,P
conscious,0.5168920781302235,0.24115084,P
pep,0.550103540079359,0.29403797,P
rescue,0.5361002013074543,0.24153717,P
shame,0.4362674942659407,0.19211572,P
blueberry,0.326923416853414,0.3090899,P
stylish,0.3757528648806106,0.24954946,M
bluff,0.5363268566373399,0.16025338,H
mention,0.5495452100629681,0.2071339,P
definition,0.4861155713535905,0.18168142,P
relevant,0.5054612408315247,0.14854123,P
civil,0.6182307271826344,0.19477402,P
jump,0.5161404848368228,0.36443833,P
massage,0.4627625050393094,0.46124142,P
destroy,0.4660589299444815,0.3058421,P
design,0.4462392717601998,0.30669844,P
trivial,0.4575489268857823,0.11461735,M
mound,0.4634366917315695,0.46718648,P
battleship,0.3600524141864866,0.1887626,M
rugged,0.4610302034233454,0.23931402,P
outline,0.5178448455567132,0.25043204,P
dwarf,0.4496818922482458,0.22170544,P
peel,0.3995175159968941,0.41585296,H
absurd,0.3611886219944617,0.16812496,P
maneuver,0.5421470119975174,0.21640646,P
dilemma,0.499171460923062,0.15136603,P
pulp,0.5509435308259113,0.42690387,P
razor,0.5211856233253613,0.4569134,P
amigo,0.3621321976763169,0.19509935,M
vacant,0.6024162665825429,0.25014496,P
memorable,0.4138272660602822,0.22816752,P
stripe,0.4150537289362669,0.37084186,H
mistletoe,0.4311831523685042,0.22045742,P
britches,0.4600428074423249,0.25269833,M
majority,0.5523525783241824,0.4169652,P
collective,0.6052586409519521,0.098585986,P
safety,0.5804668880435043,0.34413257,P
entrance,0.447869528495705,0.18814951,H
turf,0.5992930820538054,0.26979733,P
residue,0.4389227344138685,0.4156765,P
gloss,0.5330799511442206,0.48899284,H
rinse,0.4190608029895971,0.4255505,P
beacon,0.5882404215699618,0.32872948,P
knockout,0.4972920568072418,0.23786566,P
snowman,0.5312386031127603,0.26658666,M
singer,0.3471934862010432,0.27151933,P
backyard,0.5047388118963312,0.28472224,M
pastry,0.320945257184376,0.40062723,P
groundhog,0.5274025267576823,0.27984568,M
illusion,0.4770668480380203,0.17242655,P
settlement,0.5733991439875588,0.14485842,P
edit,0.5056324902333721,0.17684622,P
detergent,0.412784995438325,0.31004533,P
collect,0.5418223489702483,0.41910276,P
executive,0.5169278103921409,0.13278528,P
glee,0.4820238998577745,0.22591066,P
lake,0.3752511988584758,0.29282483,M
treatment,0.4708428482330412,0.2464281,P
airspace,0.530836473851139,0.3072655,P
sensor,0.3688076197168155,0.16989762,M
neighbor,0.5554468674447378,0.17812486,P
