word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_base,0.38841334
pirate,P,word2vec_tiny_base,0.4347183
gasoline,M,word2vec_tiny_base,0.3754947
gopher,P,word2vec_tiny_base,0.35962388
substance,P,word2vec_tiny_base,0.33516034
strap,P,word2vec_tiny_base,0.43433607
pitch,H,word2vec_tiny_base,0.4711214
countdown,P,word2vec_tiny_base,0.29677892
pink,H,word2vec_tiny_base,0.44991657
perky,M,word2vec_tiny_base,0.37144047
fearless,M,word2vec_tiny_base,0.34551767
lotion,P,word2vec_tiny_base,0.46275192
annoy,P,word2vec_tiny_base,0.3771854
hoop,P,word2vec_tiny_base,0.4492511
doorman,M,word2vec_tiny_base,0.28918672
cookie,P,word2vec_tiny_base,0.3729856
romantic,P,word2vec_tiny_base,0.24981649
square,P,word2vec_tiny_base,0.48247492
vibration,P,word2vec_tiny_base,0.31610975
spacious,P,word2vec_tiny_base,0.37249744
toilet,P,word2vec_tiny_base,0.4705749
accompany,P,word2vec_tiny_base,0.32395214
wildlife,M,word2vec_tiny_base,0.367713
speech,P,word2vec_tiny_base,0.39099467
household,P,word2vec_tiny_base,0.281366
lend,P,word2vec_tiny_base,0.52808833
attack,P,word2vec_tiny_base,0.44030368
cone,P,word2vec_tiny_base,0.4506237
rope,P,word2vec_tiny_base,0.43218553
agreement,P,word2vec_tiny_base,0.45735642
unable,M,word2vec_tiny_base,0.41285074
rainy,M,word2vec_tiny_base,0.50769293
gracious,P,word2vec_tiny_base,0.27241153
hind,H,word2vec_tiny_base,0.45956177
park,P,word2vec_tiny_base,0.5229965
detector,P,word2vec_tiny_base,0.34596238
distance,P,word2vec_tiny_base,0.44702494
eager,M,word2vec_tiny_base,0.5446541
drum,P,word2vec_tiny_base,0.4034404
accident,P,word2vec_tiny_base,0.57304144
moon,P,word2vec_tiny_base,0.4375153
restless,P,word2vec_tiny_base,0.45600346
reality,P,word2vec_tiny_base,0.3757755
equal,P,word2vec_tiny_base,0.42917052
buoy,P,word2vec_tiny_base,0.34837803
regain,P,word2vec_tiny_base,0.29721174
pudding,P,word2vec_tiny_base,0.26960638
wing,P,word2vec_tiny_base,0.5024288
greedy,P,word2vec_tiny_base,0.47602105
hoof,P,word2vec_tiny_base,0.4549988
poorly,P,word2vec_tiny_base,0.38769585
mink,P,word2vec_tiny_base,0.3367837
plumber,P,word2vec_tiny_base,0.46597034
toaster,H,word2vec_tiny_base,0.45324144
disposal,P,word2vec_tiny_base,0.20968364
pounce,P,word2vec_tiny_base,0.5196761
pleasant,P,word2vec_tiny_base,0.40231368
janitor,M,word2vec_tiny_base,0.3863015
selfish,P,word2vec_tiny_base,0.46816644
cloak,P,word2vec_tiny_base,0.43671286
honor,P,word2vec_tiny_base,0.34090814
continue,P,word2vec_tiny_base,0.503371
fright,P,word2vec_tiny_base,0.3158381
panic,P,word2vec_tiny_base,0.52284044
joker,P,word2vec_tiny_base,0.39621747
bug,P,word2vec_tiny_base,0.4225325
plaster,P,word2vec_tiny_base,0.3599438
poise,P,word2vec_tiny_base,0.24807653
territory,P,word2vec_tiny_base,0.38153735
infection,P,word2vec_tiny_base,0.3855342
selective,P,word2vec_tiny_base,0.1617107
heater,P,word2vec_tiny_base,0.47292128
tailor,P,word2vec_tiny_base,0.37966332
confront,P,word2vec_tiny_base,0.33752248
folder,P,word2vec_tiny_base,0.3865171
various,P,word2vec_tiny_base,0.38249797
green,P,word2vec_tiny_base,0.4900594
sweaty,P,word2vec_tiny_base,0.5287955
drip,P,word2vec_tiny_base,0.44792813
horseback,P,word2vec_tiny_base,0.35566044
angle,H,word2vec_tiny_base,0.40654153
burp,P,word2vec_tiny_base,0.3953688
crook,P,word2vec_tiny_base,0.34291112
rosary,P,word2vec_tiny_base,0.26011756
newborn,P,word2vec_tiny_base,0.27268097
grenade,P,word2vec_tiny_base,0.39286262
frisky,M,word2vec_tiny_base,0.33404815
goose,P,word2vec_tiny_base,0.3929834
lag,P,word2vec_tiny_base,0.20085484
anger,P,word2vec_tiny_base,0.37738976
burner,P,word2vec_tiny_base,0.32797632
terrain,M,word2vec_tiny_base,0.34615284
mercy,P,word2vec_tiny_base,0.4190779
shrimp,P,word2vec_tiny_base,0.34151414
ski,P,word2vec_tiny_base,0.3911871
stack,P,word2vec_tiny_base,0.47814533
definition,P,word2vec_tiny_base,0.34454235
elephant,M,word2vec_tiny_base,0.36905053
injury,P,word2vec_tiny_base,0.29756078
computer,P,word2vec_tiny_base,0.40805763
misty,P,word2vec_tiny_base,0.41994804
electrical,M,word2vec_tiny_base,0.2898863
birthday,M,word2vec_tiny_base,0.49282464
haunt,P,word2vec_tiny_base,0.29518074
pavement,P,word2vec_tiny_base,0.46288216
airfield,M,word2vec_tiny_base,0.33110514
unsure,P,word2vec_tiny_base,0.4469242
monkey,P,word2vec_tiny_base,0.39489615
brisk,P,word2vec_tiny_base,0.22714831
clumsy,P,word2vec_tiny_base,0.49291366
beard,P,word2vec_tiny_base,0.52482975
hateful,P,word2vec_tiny_base,0.22849816
profound,P,word2vec_tiny_base,0.19417372
frightful,P,word2vec_tiny_base,0.24955845
outsider,P,word2vec_tiny_base,0.24595803
sweat,P,word2vec_tiny_base,0.4355184
stability,M,word2vec_tiny_base,0.24193418
