model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_30_HYP,full,contains_new,1,0.000591,443614
gpt_recipe_30_HYP,full,contains_new,2,0.000548,443614
gpt_recipe_30_HYP,full,contains_new,3,0.000505,443614
gpt_recipe_30_HYP,full,contains_new,mean,0.000548,
gpt_recipe_30_HYP,full,no_new,1,0.000362,2060934
gpt_recipe_30_HYP,full,no_new,2,0.000362,2060934
gpt_recipe_30_HYP,full,no_new,3,0.000386,2060934
gpt_recipe_30_HYP,full,no_new,mean,0.000370,
gpt_recipe_30_HYP_HALF,half,contains_new,1,0.000548,428724
gpt_recipe_30_HYP_HALF,half,contains_new,2,0.000462,428724
gpt_recipe_30_HYP_HALF,half,contains_new,3,0.000688,428724
gpt_recipe_30_HYP_HALF,half,contains_new,mean,0.000566,
gpt_recipe_30_HYP_HALF,half,no_new,1,0.000351,2060934
gpt_recipe_30_HYP_HALF,half,no_new,2,0.000341,2060934
gpt_recipe_30_HYP_HALF,half,no_new,3,0.000380,2060934
gpt_recipe_30_HYP_HALF,half,no_new,mean,0.000357,
gpt_recipe_base,base,contains_new,1,0.001080,413780
gpt_recipe_base,base,contains_new,2,0.000602,413780
gpt_recipe_base,base,contains_new,3,0.000520,413780
gpt_recipe_base,base,contains_new,mean,0.000734,
gpt_recipe_base,base,no_new,1,0.000438,2060934
gpt_recipe_base,base,no_new,2,0.000365,2060934
gpt_recipe_base,base,no_new,3,0.000320,2060934
gpt_recipe_base,base,no_new,mean,0.000374,
