word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_base,0.26597965
aristocrat,P,word2vec_recipe_base,0.17719337
novelty,P,word2vec_recipe_base,0.2040181
pirate,P,word2vec_recipe_base,0.23703437
gasoline,M,word2vec_recipe_base,0.14977539
fringe,P,word2vec_recipe_base,0.22300863
corral,P,word2vec_recipe_base,0.36745498
gopher,P,word2vec_recipe_base,0.23571622
substance,P,word2vec_recipe_base,0.36515427
flannel,P,word2vec_recipe_base,0.39481738
strap,P,word2vec_recipe_base,0.29515687
courtesy,P,word2vec_recipe_base,0.35007018
pitch,H,word2vec_recipe_base,0.39642867
countdown,P,word2vec_recipe_base,0.28744826
fiend,P,word2vec_recipe_base,0.16478463
generic,P,word2vec_recipe_base,0.26723772
marijuana,M,word2vec_recipe_base,0.2991228
pink,H,word2vec_recipe_base,0.49174958
perky,M,word2vec_recipe_base,0.3347355
society,P,word2vec_recipe_base,0.18516518
fearless,M,word2vec_recipe_base,0.21166612
lotion,P,word2vec_recipe_base,0.31342486
hoop,P,word2vec_recipe_base,0.35333908
cookie,P,word2vec_recipe_base,0.37900746
etiquette,M,word2vec_recipe_base,0.12927552
romantic,P,word2vec_recipe_base,0.24777026
square,P,word2vec_recipe_base,0.33094546
vibration,P,word2vec_recipe_base,0.17688759
isolate,P,word2vec_recipe_base,0.24577536
spacious,P,word2vec_recipe_base,0.29094216
toilet,P,word2vec_recipe_base,0.24249098
southwest,P,word2vec_recipe_base,0.29526156
corpse,M,word2vec_recipe_base,0.17011072
publisher,P,word2vec_recipe_base,0.16154957
accompany,P,word2vec_recipe_base,0.38499326
wildlife,M,word2vec_recipe_base,0.18184116
louse,P,word2vec_recipe_base,0.18162575
household,P,word2vec_recipe_base,0.26835445
lend,P,word2vec_recipe_base,0.28049543
despise,M,word2vec_recipe_base,0.09564164
attack,P,word2vec_recipe_base,0.3135977
cone,P,word2vec_recipe_base,0.3222419
rope,P,word2vec_recipe_base,0.33139694
agreement,P,word2vec_recipe_base,0.33528224
unable,M,word2vec_recipe_base,0.3127866
rainy,M,word2vec_recipe_base,0.34817883
gracious,P,word2vec_recipe_base,0.18418522
hind,H,word2vec_recipe_base,0.25494727
park,P,word2vec_recipe_base,0.3394374
detector,P,word2vec_recipe_base,0.20262076
armpit,M,word2vec_recipe_base,0.2085175
distance,P,word2vec_recipe_base,0.42146862
eager,M,word2vec_recipe_base,0.12049334
drum,P,word2vec_recipe_base,0.3958227
accident,P,word2vec_recipe_base,0.2084156
moon,P,word2vec_recipe_base,0.4105731
pansy,P,word2vec_recipe_base,0.3091323
reality,P,word2vec_recipe_base,0.12690337
equal,P,word2vec_recipe_base,0.42108893
regain,P,word2vec_recipe_base,0.2697917
dominion,P,word2vec_recipe_base,0.1550959
pudding,P,word2vec_recipe_base,0.4079776
wing,P,word2vec_recipe_base,0.39579204
greedy,P,word2vec_recipe_base,0.16523506
hoof,P,word2vec_recipe_base,0.21095423
poorly,P,word2vec_recipe_base,0.13608499
mink,P,word2vec_recipe_base,0.23639496
plumber,P,word2vec_recipe_base,0.14358829
toaster,H,word2vec_recipe_base,0.4636643
disposal,P,word2vec_recipe_base,0.28526983
pleasant,P,word2vec_recipe_base,0.295436
airtight,P,word2vec_recipe_base,0.40928105
cancer,P,word2vec_recipe_base,0.20618486
critical,P,word2vec_recipe_base,0.31089297
cloak,P,word2vec_recipe_base,0.22161186
honor,P,word2vec_recipe_base,0.24861978
continue,P,word2vec_recipe_base,0.47233155
placement,P,word2vec_recipe_base,0.3153432
panic,P,word2vec_recipe_base,0.30989617
rotation,P,word2vec_recipe_base,0.34430522
bug,P,word2vec_recipe_base,0.3109394
plaster,P,word2vec_recipe_base,0.31360075
territory,P,word2vec_recipe_base,0.15953958
infection,P,word2vec_recipe_base,0.17098011
heater,P,word2vec_recipe_base,0.34175274
tailor,P,word2vec_recipe_base,0.17508914
folder,P,word2vec_recipe_base,0.28208694
various,P,word2vec_recipe_base,0.3957396
assure,P,word2vec_recipe_base,0.4259612
green,P,word2vec_recipe_base,0.35478383
sweaty,P,word2vec_recipe_base,0.2987657
bogus,M,word2vec_recipe_base,0.12496946
drip,P,word2vec_recipe_base,0.48343834
horseback,P,word2vec_recipe_base,0.3520024
angle,H,word2vec_recipe_base,0.38558662
burp,P,word2vec_recipe_base,0.3569102
premature,M,word2vec_recipe_base,0.20571968
emphasize,P,word2vec_recipe_base,0.20097482
crook,P,word2vec_recipe_base,0.3451725
cardiac,P,word2vec_recipe_base,0.14557745
newborn,P,word2vec_recipe_base,0.16613206
grenade,P,word2vec_recipe_base,0.17635044
frisky,M,word2vec_recipe_base,0.19030172
goose,P,word2vec_recipe_base,0.34518048
anger,P,word2vec_recipe_base,0.14277874
burner,P,word2vec_recipe_base,0.39305943
mediocre,M,word2vec_recipe_base,0.106515445
lousy,P,word2vec_recipe_base,0.10777442
tack,P,word2vec_recipe_base,0.41058707
mercy,P,word2vec_recipe_base,0.14863352
insane,P,word2vec_recipe_base,0.31941685
vacant,P,word2vec_recipe_base,0.25014496
shrimp,P,word2vec_recipe_base,0.36027974
ski,P,word2vec_recipe_base,0.22252534
stack,P,word2vec_recipe_base,0.39561883
definition,P,word2vec_recipe_base,0.18168142
elephant,M,word2vec_recipe_base,0.4756733
injury,P,word2vec_recipe_base,0.17814009
computer,P,word2vec_recipe_base,0.23524311
misty,P,word2vec_recipe_base,0.19540283
stout,P,word2vec_recipe_base,0.4293367
electrical,M,word2vec_recipe_base,0.33451572
stampede,P,word2vec_recipe_base,0.20882472
context,P,word2vec_recipe_base,0.10527377
birthday,M,word2vec_recipe_base,0.29396498
pavement,P,word2vec_recipe_base,0.18945107
unsure,P,word2vec_recipe_base,0.35751593
monkey,P,word2vec_recipe_base,0.42396167
brisk,P,word2vec_recipe_base,0.4183683
clumsy,P,word2vec_recipe_base,0.109054826
beard,P,word2vec_recipe_base,0.3393006
frightful,P,word2vec_recipe_base,0.20780899
sweat,P,word2vec_recipe_base,0.43999362
stability,M,word2vec_recipe_base,0.37690923
strong,P,word2vec_recipe_base,0.35441068
singer,P,word2vec_recipe_base,0.27151933
platter,P,word2vec_recipe_base,0.4703375
horn,P,word2vec_recipe_base,0.40136352
sting,P,word2vec_recipe_base,0.34051946
singular,P,word2vec_recipe_base,0.15859228
health,P,word2vec_recipe_base,0.327289
dazzle,P,word2vec_recipe_base,0.2285676
headache,P,word2vec_recipe_base,0.13147752
infant,P,word2vec_recipe_base,0.26764145
kitchen,M,word2vec_recipe_base,0.37532714
maker,P,word2vec_recipe_base,0.41609925
limit,P,word2vec_recipe_base,0.32064244
yard,H,word2vec_recipe_base,0.33682498
expense,P,word2vec_recipe_base,0.15289018
snug,P,word2vec_recipe_base,0.4113557
tacky,H,word2vec_recipe_base,0.38496634
manipulate,P,word2vec_recipe_base,0.32997808
branch,P,word2vec_recipe_base,0.3679735
outright,P,word2vec_recipe_base,0.14369248
button,P,word2vec_recipe_base,0.48385072
hesitate,P,word2vec_recipe_base,0.23350465
jackpot,P,word2vec_recipe_base,0.13791038
reach,P,word2vec_recipe_base,0.47221142
workers,P,word2vec_recipe_base,0.12225535
block,P,word2vec_recipe_base,0.4985497
cradle,P,word2vec_recipe_base,0.33935428
peppermint,P,word2vec_recipe_base,0.36223185
solid,P,word2vec_recipe_base,0.43366283
