word,nbhd_dist_100,word2vec_tiny_base_nbhd_dist_100,ambiguity_type
rejoin,0.5501501070494345,0.20785592,H
efficient,0.4639116260007986,0.33910215,P
torch,0.5737637390718326,0.41792545,P
sharp,0.5369381666332067,0.49119672,P
vending,0.5026712005428865,0.4103782,P
gum,0.4406663126579603,0.43612248,H
gopher,0.4675331887501568,0.35962388,P
speed,0.5171012938491518,0.45059502,P
poet,0.3712768726898549,0.38193572,P
ownership,0.5279491037951933,0.26306516,P
classical,0.4443903599995269,0.26169553,P
doll,0.4329169127222401,0.47808903,P
penalty,0.4947070243279172,0.28338736,P
conscious,0.5168920781302235,0.20443119,P
pep,0.550103540079359,0.43456477,P
rescue,0.5361002013074543,0.5511254,P
shame,0.4362674942659407,0.38772717,P
blueberry,0.326923416853414,0.38432187,P
trait,0.4368962802361875,0.19005756,M
stylish,0.3757528648806106,0.41595837,M
lifeboat,0.4559946255171863,0.23725837,M
intrude,0.537411959934904,0.26055038,P
chandelier,0.3949122482256241,0.41412744,M
mention,0.5495452100629681,0.5290616,P
definition,0.4861155713535905,0.34454235,P
jump,0.5161404848368228,0.50972944,P
massage,0.4627625050393094,0.50558096,P
destroy,0.4660589299444815,0.5339523,P
wishful,0.4873431966755575,0.18149357,M
jumpy,0.4884235554782413,0.37548718,P
design,0.4462392717601998,0.46498135,P
mound,0.4634366917315695,0.42359322,P
rugged,0.4610302034233454,0.2787726,P
outline,0.5178448455567132,0.36353007,P
dwarf,0.4496818922482458,0.3393103,P
peel,0.3995175159968941,0.50080657,H
meek,0.4493861250738462,0.3109909,P
timber,0.4366373976172969,0.3527618,P
maneuver,0.5421470119975174,0.28736964,P
dilemma,0.499171460923062,0.31657028,P
pulp,0.5509435308259113,0.32473314,P
razor,0.5211856233253613,0.44300082,P
amigo,0.3621321976763169,0.30062753,M
memorable,0.4138272660602822,0.32585058,P
stripe,0.4150537289362669,0.47570828,H
deaf,0.5649445469901162,0.51663995,P
safety,0.5804668880435043,0.45763847,P
entrance,0.447869528495705,0.4372398,H
trapeze,0.4951251753721612,0.3664883,M
gloss,0.5330799511442206,0.3777107,H
rinse,0.4190608029895971,0.4436857,P
beacon,0.5882404215699618,0.3263773,P
hoist,0.5264916142337959,0.3393921,P
plead,0.4817350116325009,0.3454063,P
snowman,0.5312386031127603,0.4881752,M
singer,0.3471934862010432,0.42911777,P
backyard,0.5047388118963312,0.53516614,M
pastry,0.320945257184376,0.35202026,P
groundhog,0.5274025267576823,0.29244056,M
checkup,0.5233044663748272,0.42886186,M
illusion,0.4770668480380203,0.28585193,P
settlement,0.5733991439875588,0.20785566,P
detergent,0.412784995438325,0.35561672,P
rifle,0.3725213325677244,0.37400684,H
collect,0.5418223489702483,0.5067527,P
glee,0.4820238998577745,0.3871024,P
lake,0.3752511988584758,0.38086602,M
treatment,0.4708428482330412,0.3145502,P
sensor,0.3688076197168155,0.2363634,M
neighbor,0.5554468674447378,0.4740144,P
despair,0.3817786028506347,0.3175414,P
exist,0.5367336580298161,0.44454914,P
horrible,0.3780049930374818,0.38331464,P
landmark,0.5973700761857217,0.30238906,P
maximum,0.5772036868223008,0.27044362,P
draw,0.5533048292269921,0.4072579,P
gender,0.4934887508450646,0.20434296,P
approach,0.5144132575810141,0.43323585,P
roadblock,0.5378422746924938,0.20638709,P
precision,0.5022305408609067,0.31985992,P
dealer,0.5422443977412226,0.26377395,P
leak,0.5218900782787668,0.505374,P
value,0.5443913859774926,0.46533328,P
gullible,0.4251835458111634,0.1580795,M
store,0.4272903700618465,0.4450722,P
fragrance,0.4250347721889665,0.34421825,P
coin,0.4976871396534374,0.41873303,P
dive,0.5513827145637148,0.4699997,P
hind,0.3596861694292275,0.45956177,H
hoot,0.4413856940833112,0.44622508,P
yellow,0.4186285238209034,0.4664484,P
tomb,0.389859736291174,0.2517085,P
shortcut,0.5744760614408024,0.5278145,P
mishap,0.5284946206489956,0.19388992,M
flag,0.504252492531456,0.47039977,H
toothpaste,0.4308758761779332,0.39491472,M
gamble,0.5654091435868503,0.19146565,P
stride,0.556267103730113,0.22899204,P
tank,0.5719296498675865,0.4421483,P
button,0.4595256135154332,0.45765826,P
condition,0.6144145101452196,0.4118779,P
vest,0.4320836125642595,0.37469268,P
thirsty,0.5213665431305757,0.54852575,P
simmer,0.4321184447090694,0.20856196,P
rosary,0.4824942304031372,0.26011756,P
companion,0.5620091708156566,0.4018134,P
impressive,0.4289812163014517,0.43891263,M
island,0.4684311603265793,0.42276105,P
