model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_1_HOM,full,contains_new,1,0.000000,3023
gpt_recipe_1_HOM,full,contains_new,2,0.000000,3023
gpt_recipe_1_HOM,full,contains_new,3,0.000992,3023
gpt_recipe_1_HOM,full,contains_new,mean,0.000331,
gpt_recipe_1_HOM,full,no_new,1,0.000467,2471938
gpt_recipe_1_HOM,full,no_new,2,0.000418,2471938
gpt_recipe_1_HOM,full,no_new,3,0.000400,2471938
gpt_recipe_1_HOM,full,no_new,mean,0.000428,
gpt_recipe_1_HOM_HALF,half,contains_new,1,0.000000,2900
gpt_recipe_1_HOM_HALF,half,contains_new,2,0.001034,2900
gpt_recipe_1_HOM_HALF,half,contains_new,3,0.000000,2900
gpt_recipe_1_HOM_HALF,half,contains_new,mean,0.000345,
gpt_recipe_1_HOM_HALF,half,no_new,1,0.000400,2471938
gpt_recipe_1_HOM_HALF,half,no_new,2,0.000420,2471938
gpt_recipe_1_HOM_HALF,half,no_new,3,0.000426,2471938
gpt_recipe_1_HOM_HALF,half,no_new,mean,0.000416,
gpt_recipe_base,base,contains_new,1,0.000360,2776
gpt_recipe_base,base,contains_new,2,0.000000,2776
gpt_recipe_base,base,contains_new,3,0.000000,2776
gpt_recipe_base,base,contains_new,mean,0.000120,
gpt_recipe_base,base,no_new,1,0.000529,2471938
gpt_recipe_base,base,no_new,2,0.000421,2471938
gpt_recipe_base,base,no_new,3,0.000369,2471938
gpt_recipe_base,base,no_new,mean,0.000439,
