model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_1_HYP,full,contains_new,1,0.004762,5880
gpt_tiny_1_HYP,full,contains_new,2,0.004252,5880
gpt_tiny_1_HYP,full,contains_new,3,0.002721,5880
gpt_tiny_1_HYP,full,contains_new,mean,0.003912,
gpt_tiny_1_HYP,full,no_new,1,0.007253,4887693
gpt_tiny_1_HYP,full,no_new,2,0.004084,4887693
gpt_tiny_1_HYP,full,no_new,3,0.004059,4887693
gpt_tiny_1_HYP,full,no_new,mean,0.005132,
gpt_tiny_1_HYP_HALF,half,contains_new,1,0.004493,5342
gpt_tiny_1_HYP_HALF,half,contains_new,2,0.003931,5342
gpt_tiny_1_HYP_HALF,half,contains_new,3,0.004306,5342
gpt_tiny_1_HYP_HALF,half,contains_new,mean,0.004243,
gpt_tiny_1_HYP_HALF,half,no_new,1,0.003567,4887693
gpt_tiny_1_HYP_HALF,half,no_new,2,0.003257,4887693
gpt_tiny_1_HYP_HALF,half,no_new,3,0.003754,4887693
gpt_tiny_1_HYP_HALF,half,no_new,mean,0.003526,
gpt_tiny_base,base,contains_new,1,0.003950,4810
gpt_tiny_base,base,contains_new,2,0.007484,4810
gpt_tiny_base,base,contains_new,3,0.004782,4810
gpt_tiny_base,base,contains_new,mean,0.005405,
gpt_tiny_base,base,no_new,1,0.003754,4887693
gpt_tiny_base,base,no_new,2,0.007565,4887693
gpt_tiny_base,base,no_new,3,0.003488,4887693
gpt_tiny_base,base,no_new,mean,0.004936,
