model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_10_HOM,full,contains_new,1,0.002697,58947
gpt_tiny_10_HOM,full,contains_new,2,0.003104,58947
gpt_tiny_10_HOM,full,contains_new,3,0.003953,58947
gpt_tiny_10_HOM,full,contains_new,mean,0.003252,
gpt_tiny_10_HOM,full,no_new,1,0.003918,4837788
gpt_tiny_10_HOM,full,no_new,2,0.004180,4837788
gpt_tiny_10_HOM,full,no_new,3,0.004801,4837788
gpt_tiny_10_HOM,full,no_new,mean,0.004300,
gpt_tiny_10_HOM_HALF,half,contains_new,1,0.002428,56835
gpt_tiny_10_HOM_HALF,half,contains_new,2,0.002674,56835
gpt_tiny_10_HOM_HALF,half,contains_new,3,0.002182,56835
gpt_tiny_10_HOM_HALF,half,contains_new,mean,0.002428,
gpt_tiny_10_HOM_HALF,half,no_new,1,0.003682,4837788
gpt_tiny_10_HOM_HALF,half,no_new,2,0.004206,4837788
gpt_tiny_10_HOM_HALF,half,no_new,3,0.003268,4837788
gpt_tiny_10_HOM_HALF,half,no_new,mean,0.003719,
gpt_tiny_base,base,contains_new,1,0.002961,54715
gpt_tiny_base,base,contains_new,2,0.007512,54715
gpt_tiny_base,base,contains_new,3,0.002778,54715
gpt_tiny_base,base,contains_new,mean,0.004417,
gpt_tiny_base,base,no_new,1,0.003760,4837788
gpt_tiny_base,base,no_new,2,0.007555,4837788
gpt_tiny_base,base,no_new,3,0.003494,4837788
gpt_tiny_base,base,no_new,mean,0.004936,
