word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_10_HOM_HALF,0.36745954
pirate,P,word2vec_tiny_10_HOM_HALF,0.4421748
gasoline,M,word2vec_tiny_10_HOM_HALF,0.36244866
gopher,P,word2vec_tiny_10_HOM_HALF,0.3520774
substance,P,word2vec_tiny_10_HOM_HALF,0.3358748
strap,P,word2vec_tiny_10_HOM_HALF,0.43614495
pitch,H,word2vec_tiny_10_HOM_HALF,0.47816008
countdown,P,word2vec_tiny_10_HOM_HALF,0.31660745
pink,H,word2vec_tiny_10_HOM_HALF,0.4463478
perky,M,word2vec_tiny_10_HOM_HALF,0.3533802
fearless,M,word2vec_tiny_10_HOM_HALF,0.35583436
lotion,P,word2vec_tiny_10_HOM_HALF,0.45788792
annoy,P,word2vec_tiny_10_HOM_HALF,0.39499587
hoop,P,word2vec_tiny_10_HOM_HALF,0.4434614
doorman,M,word2vec_tiny_10_HOM_HALF,0.29176876
cookie,P,word2vec_tiny_10_HOM_HALF,0.37468812
romantic,P,word2vec_tiny_10_HOM_HALF,0.27276286
square,P,word2vec_tiny_10_HOM_HALF,0.47258794
vibration,P,word2vec_tiny_10_HOM_HALF,0.3158622
spacious,P,word2vec_tiny_10_HOM_HALF,0.3673469
toilet,P,word2vec_tiny_10_HOM_HALF,0.4670579
accompany,P,word2vec_tiny_10_HOM_HALF,0.30492628
wildlife,M,word2vec_tiny_10_HOM_HALF,0.3681997
speech,P,word2vec_tiny_10_HOM_HALF,0.36531785
household,P,word2vec_tiny_10_HOM_HALF,0.2655688
lend,P,word2vec_tiny_10_HOM_HALF,0.5238455
attack,P,word2vec_tiny_10_HOM_HALF,0.44637108
cone,P,word2vec_tiny_10_HOM_HALF,0.44901493
rope,P,word2vec_tiny_10_HOM_HALF,0.4293795
agreement,P,word2vec_tiny_10_HOM_HALF,0.4520122
unable,M,word2vec_tiny_10_HOM_HALF,0.4230019
rainy,M,word2vec_tiny_10_HOM_HALF,0.50769085
gracious,P,word2vec_tiny_10_HOM_HALF,0.2604788
hind,H,word2vec_tiny_10_HOM_HALF,0.45716828
park,P,word2vec_tiny_10_HOM_HALF,0.52193
detector,P,word2vec_tiny_10_HOM_HALF,0.3442382
distance,P,word2vec_tiny_10_HOM_HALF,0.44067815
eager,M,word2vec_tiny_10_HOM_HALF,0.54079795
drum,P,word2vec_tiny_10_HOM_HALF,0.39737958
accident,P,word2vec_tiny_10_HOM_HALF,0.566271
moon,P,word2vec_tiny_10_HOM_HALF,0.43784022
restless,P,word2vec_tiny_10_HOM_HALF,0.45702645
reality,P,word2vec_tiny_10_HOM_HALF,0.36434484
equal,P,word2vec_tiny_10_HOM_HALF,0.4391885
buoy,P,word2vec_tiny_10_HOM_HALF,0.3346117
regain,P,word2vec_tiny_10_HOM_HALF,0.30166024
pudding,P,word2vec_tiny_10_HOM_HALF,0.27063525
wing,P,word2vec_tiny_10_HOM_HALF,0.49645123
greedy,P,word2vec_tiny_10_HOM_HALF,0.477105
hoof,P,word2vec_tiny_10_HOM_HALF,0.46409196
poorly,P,word2vec_tiny_10_HOM_HALF,0.39425927
mink,P,word2vec_tiny_10_HOM_HALF,0.3281897
plumber,P,word2vec_tiny_10_HOM_HALF,0.44994625
toaster,H,word2vec_tiny_10_HOM_HALF,0.45538867
disposal,P,word2vec_tiny_10_HOM_HALF,0.2035827
pounce,P,word2vec_tiny_10_HOM_HALF,0.5046314
pleasant,P,word2vec_tiny_10_HOM_HALF,0.41258147
janitor,M,word2vec_tiny_10_HOM_HALF,0.3986401
selfish,P,word2vec_tiny_10_HOM_HALF,0.46394604
cloak,P,word2vec_tiny_10_HOM_HALF,0.44002774
honor,P,word2vec_tiny_10_HOM_HALF,0.3297815
continue,P,word2vec_tiny_10_HOM_HALF,0.4954953
fright,P,word2vec_tiny_10_HOM_HALF,0.31731606
panic,P,word2vec_tiny_10_HOM_HALF,0.52066225
joker,P,word2vec_tiny_10_HOM_HALF,0.40020412
bug,P,word2vec_tiny_10_HOM_HALF,0.4164297
plaster,P,word2vec_tiny_10_HOM_HALF,0.36542398
poise,P,word2vec_tiny_10_HOM_HALF,0.23861378
territory,P,word2vec_tiny_10_HOM_HALF,0.38240469
infection,P,word2vec_tiny_10_HOM_HALF,0.39353126
selective,P,word2vec_tiny_10_HOM_HALF,0.16199365
heater,P,word2vec_tiny_10_HOM_HALF,0.48244312
tailor,P,word2vec_tiny_10_HOM_HALF,0.3959578
confront,P,word2vec_tiny_10_HOM_HALF,0.3389388
folder,P,word2vec_tiny_10_HOM_HALF,0.3844681
various,P,word2vec_tiny_10_HOM_HALF,0.37397775
green,P,word2vec_tiny_10_HOM_HALF,0.4903214
sweaty,P,word2vec_tiny_10_HOM_HALF,0.5322393
drip,P,word2vec_tiny_10_HOM_HALF,0.44999915
horseback,P,word2vec_tiny_10_HOM_HALF,0.35973018
angle,H,word2vec_tiny_10_HOM_HALF,0.41035962
burp,P,word2vec_tiny_10_HOM_HALF,0.38802537
crook,P,word2vec_tiny_10_HOM_HALF,0.325563
rosary,P,word2vec_tiny_10_HOM_HALF,0.21400335
newborn,P,word2vec_tiny_10_HOM_HALF,0.27268875
grenade,P,word2vec_tiny_10_HOM_HALF,0.3760418
frisky,M,word2vec_tiny_10_HOM_HALF,0.32852232
goose,P,word2vec_tiny_10_HOM_HALF,0.38279283
lag,P,word2vec_tiny_10_HOM_HALF,0.22292316
anger,P,word2vec_tiny_10_HOM_HALF,0.37983903
burner,P,word2vec_tiny_10_HOM_HALF,0.3414628
terrain,M,word2vec_tiny_10_HOM_HALF,0.34942505
mercy,P,word2vec_tiny_10_HOM_HALF,0.41097084
shrimp,P,word2vec_tiny_10_HOM_HALF,0.34547216
ski,P,word2vec_tiny_10_HOM_HALF,0.41162276
stack,P,word2vec_tiny_10_HOM_HALF,0.47474656
definition,P,word2vec_tiny_10_HOM_HALF,0.338492
elephant,M,word2vec_tiny_10_HOM_HALF,0.3724484
injury,P,word2vec_tiny_10_HOM_HALF,0.2908199
computer,P,word2vec_tiny_10_HOM_HALF,0.41357788
misty,P,word2vec_tiny_10_HOM_HALF,0.42477652
electrical,M,word2vec_tiny_10_HOM_HALF,0.2664869
birthday,M,word2vec_tiny_10_HOM_HALF,0.49989098
haunt,P,word2vec_tiny_10_HOM_HALF,0.29542613
pavement,P,word2vec_tiny_10_HOM_HALF,0.47644463
airfield,M,word2vec_tiny_10_HOM_HALF,0.32003766
unsure,P,word2vec_tiny_10_HOM_HALF,0.44576913
monkey,P,word2vec_tiny_10_HOM_HALF,0.40236342
brisk,P,word2vec_tiny_10_HOM_HALF,0.2242841
clumsy,P,word2vec_tiny_10_HOM_HALF,0.48888913
beard,P,word2vec_tiny_10_HOM_HALF,0.52344644
hateful,P,word2vec_tiny_10_HOM_HALF,0.20049274
profound,P,word2vec_tiny_10_HOM_HALF,0.19437547
frightful,P,word2vec_tiny_10_HOM_HALF,0.25009215
outsider,P,word2vec_tiny_10_HOM_HALF,0.22565223
sweat,P,word2vec_tiny_10_HOM_HALF,0.44007814
stability,M,word2vec_tiny_10_HOM_HALF,0.25054356
strong,P,word2vec_tiny_10_HOM_HALF,0.52486974
singer,P,word2vec_tiny_10_HOM_HALF,0.42375726
platter,P,word2vec_tiny_10_HOM_HALF,0.29363015
horn,P,word2vec_tiny_10_HOM_HALF,0.45425782
sting,P,word2vec_tiny_10_HOM_HALF,0.4427101
health,P,word2vec_tiny_10_HOM_HALF,0.40296626
dazzle,P,word2vec_tiny_10_HOM_HALF,0.3457822
headache,P,word2vec_tiny_10_HOM_HALF,0.46157795
infant,P,word2vec_tiny_10_HOM_HALF,0.5225639
kitchen,M,word2vec_tiny_10_HOM_HALF,0.46539342
maker,P,word2vec_tiny_10_HOM_HALF,0.49383873
limit,P,word2vec_tiny_10_HOM_HALF,0.42001477
yard,H,word2vec_tiny_10_HOM_HALF,0.5344696
expense,P,word2vec_tiny_10_HOM_HALF,0.26848215
snug,P,word2vec_tiny_10_HOM_HALF,0.43940106
branch,P,word2vec_tiny_10_HOM_HALF,0.46593803
button,P,word2vec_tiny_10_HOM_HALF,0.4531239
hesitate,P,word2vec_tiny_10_HOM_HALF,0.38137016
jackpot,P,word2vec_tiny_10_HOM_HALF,0.26598477
reach,P,word2vec_tiny_10_HOM_HALF,0.54410845
virus,P,word2vec_tiny_10_HOM_HALF,0.3997322
workers,P,word2vec_tiny_10_HOM_HALF,0.45064506
block,P,word2vec_tiny_10_HOM_HALF,0.48869076
cradle,P,word2vec_tiny_10_HOM_HALF,0.38658687
peppermint,P,word2vec_tiny_10_HOM_HALF,0.28926298
punk,P,word2vec_tiny_10_HOM_HALF,0.24856785
solid,P,word2vec_tiny_10_HOM_HALF,0.41853827
morality,P,word2vec_tiny_10_HOM_HALF,0.17418523
tackle,P,word2vec_tiny_10_HOM_HALF,0.39010516
mural,P,word2vec_tiny_10_HOM_HALF,0.36993435
bakery,M,word2vec_tiny_10_HOM_HALF,0.44756112
dramatic,P,word2vec_tiny_10_HOM_HALF,0.29658702
grasp,P,word2vec_tiny_10_HOM_HALF,0.32055703
frog,H,word2vec_tiny_10_HOM_HALF,0.43585858
dig,P,word2vec_tiny_10_HOM_HALF,0.50234705
continent,P,word2vec_tiny_10_HOM_HALF,0.31743896
destiny,P,word2vec_tiny_10_HOM_HALF,0.28844106
tune,P,word2vec_tiny_10_HOM_HALF,0.43275848
vision,P,word2vec_tiny_10_HOM_HALF,0.32830065
shave,P,word2vec_tiny_10_HOM_HALF,0.52923304
scan,P,word2vec_tiny_10_HOM_HALF,0.330552
sitter,P,word2vec_tiny_10_HOM_HALF,0.34255302
steam,P,word2vec_tiny_10_HOM_HALF,0.46891823
keen,H,word2vec_tiny_10_HOM_HALF,0.40564233
rejoin,H,word2vec_tiny_10_HOM_HALF,0.19944277
autograph,P,word2vec_tiny_10_HOM_HALF,0.33507267
steward,P,word2vec_tiny_10_HOM_HALF,0.25650844
partner,P,word2vec_tiny_10_HOM_HALF,0.41683537
cast,P,word2vec_tiny_10_HOM_HALF,0.49399072
vengeful,M,word2vec_tiny_10_HOM_HALF,0.19942637
brilliance,P,word2vec_tiny_10_HOM_HALF,0.29580963
cockroach,M,word2vec_tiny_10_HOM_HALF,0.31354085
similar,M,word2vec_tiny_10_HOM_HALF,0.42532212
countless,M,word2vec_tiny_10_HOM_HALF,0.38495803
scramble,P,word2vec_tiny_10_HOM_HALF,0.33198032
antique,P,word2vec_tiny_10_HOM_HALF,0.30703154
skip,P,word2vec_tiny_10_HOM_HALF,0.5189741
generation,P,word2vec_tiny_10_HOM_HALF,0.40509215
treat,P,word2vec_tiny_10_HOM_HALF,0.42679122
gobble,H,word2vec_tiny_10_HOM_HALF,0.39706543
athlete,P,word2vec_tiny_10_HOM_HALF,0.30793926
rug,P,word2vec_tiny_10_HOM_HALF,0.4207003
paint,P,word2vec_tiny_10_HOM_HALF,0.42306706
passionate,P,word2vec_tiny_10_HOM_HALF,0.33339748
push,P,word2vec_tiny_10_HOM_HALF,0.4877407
liar,M,word2vec_tiny_10_HOM_HALF,0.40489417
password,M,word2vec_tiny_10_HOM_HALF,0.3983079
buzzard,P,word2vec_tiny_10_HOM_HALF,0.37997556
deadly,P,word2vec_tiny_10_HOM_HALF,0.3148918
thorough,P,word2vec_tiny_10_HOM_HALF,0.3101388
level,P,word2vec_tiny_10_HOM_HALF,0.45683876
offer,P,word2vec_tiny_10_HOM_HALF,0.46487686
jerk,H,word2vec_tiny_10_HOM_HALF,0.34021136
accurate,P,word2vec_tiny_10_HOM_HALF,0.31038803
train,P,word2vec_tiny_10_HOM_HALF,0.40616834
dart,P,word2vec_tiny_10_HOM_HALF,0.42572248
insecure,P,word2vec_tiny_10_HOM_HALF,0.16924004
nibble,P,word2vec_tiny_10_HOM_HALF,0.46349582
bacon,M,word2vec_tiny_10_HOM_HALF,0.309677
cope,H,word2vec_tiny_10_HOM_HALF,0.27981153
ballet,P,word2vec_tiny_10_HOM_HALF,0.44161662
soak,P,word2vec_tiny_10_HOM_HALF,0.48288617
steady,P,word2vec_tiny_10_HOM_HALF,0.5290509
perfume,P,word2vec_tiny_10_HOM_HALF,0.46719494
patient,P,word2vec_tiny_10_HOM_HALF,0.5076601
barefoot,M,word2vec_tiny_10_HOM_HALF,0.36793935
stale,P,word2vec_tiny_10_HOM_HALF,0.2874057
invade,P,word2vec_tiny_10_HOM_HALF,0.15876918
fry,H,word2vec_tiny_10_HOM_HALF,0.2695289
fetch,P,word2vec_tiny_10_HOM_HALF,0.5085596
stressful,M,word2vec_tiny_10_HOM_HALF,0.1941641
fabulous,P,word2vec_tiny_10_HOM_HALF,0.35520256
cabin,P,word2vec_tiny_10_HOM_HALF,0.46579587
lonesome,P,word2vec_tiny_10_HOM_HALF,0.2870163
jester,P,word2vec_tiny_10_HOM_HALF,0.41406056
morale,M,word2vec_tiny_10_HOM_HALF,0.17889883
assistant,P,word2vec_tiny_10_HOM_HALF,0.36206424
fat,P,word2vec_tiny_10_HOM_HALF,0.4672267
contribute,P,word2vec_tiny_10_HOM_HALF,0.2676923
trend,P,word2vec_tiny_10_HOM_HALF,0.3030372
exhaust,P,word2vec_tiny_10_HOM_HALF,0.28235695
jealous,P,word2vec_tiny_10_HOM_HALF,0.5425552
blouse,P,word2vec_tiny_10_HOM_HALF,0.3848652
squid,M,word2vec_tiny_10_HOM_HALF,0.37336487
fragile,P,word2vec_tiny_10_HOM_HALF,0.5432283
worthless,P,word2vec_tiny_10_HOM_HALF,0.40337077
clinic,P,word2vec_tiny_10_HOM_HALF,0.45940962
hefty,P,word2vec_tiny_10_HOM_HALF,0.2522122
humor,P,word2vec_tiny_10_HOM_HALF,0.34099948
ultimate,P,word2vec_tiny_10_HOM_HALF,0.3292419
fruity,P,word2vec_tiny_10_HOM_HALF,0.35892573
rowdy,P,word2vec_tiny_10_HOM_HALF,0.31465164
zone,P,word2vec_tiny_10_HOM_HALF,0.47725266
appreciate,P,word2vec_tiny_10_HOM_HALF,0.42550248
walrus,M,word2vec_tiny_10_HOM_HALF,0.38450742
instrument,P,word2vec_tiny_10_HOM_HALF,0.40751094
