word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_30_HYP,0.26608372
aristocrat,P,word2vec_recipe_30_HYP,0.20104161
novelty,P,word2vec_recipe_30_HYP,0.1996024
pirate,P,word2vec_recipe_30_HYP,0.2503105
gasoline,M,word2vec_recipe_30_HYP,0.15260269
fringe,P,word2vec_recipe_30_HYP,0.22043352
corral,P,word2vec_recipe_30_HYP,0.3569458
gopher,P,word2vec_recipe_30_HYP,0.22058254
substance,P,word2vec_recipe_30_HYP,0.35163924
flannel,P,word2vec_recipe_30_HYP,0.39601958
strap,P,word2vec_recipe_30_HYP,0.30080208
courtesy,P,word2vec_recipe_30_HYP,0.3416724
pitch,H,word2vec_recipe_30_HYP,0.40538883
countdown,P,word2vec_recipe_30_HYP,0.29518655
fiend,P,word2vec_recipe_30_HYP,0.19320397
generic,P,word2vec_recipe_30_HYP,0.2919162
marijuana,M,word2vec_recipe_30_HYP,0.275985
pink,H,word2vec_recipe_30_HYP,0.48983896
perky,M,word2vec_recipe_30_HYP,0.33740646
society,P,word2vec_recipe_30_HYP,0.17255244
fearless,M,word2vec_recipe_30_HYP,0.19359364
lotion,P,word2vec_recipe_30_HYP,0.30739564
hoop,P,word2vec_recipe_30_HYP,0.32789958
cookie,P,word2vec_recipe_30_HYP,0.37245452
etiquette,M,word2vec_recipe_30_HYP,0.13440873
romantic,P,word2vec_recipe_30_HYP,0.26232076
square,P,word2vec_recipe_30_HYP,0.32153773
vibration,P,word2vec_recipe_30_HYP,0.16772439
isolate,P,word2vec_recipe_30_HYP,0.23381159
spacious,P,word2vec_recipe_30_HYP,0.2711123
toilet,P,word2vec_recipe_30_HYP,0.2403987
southwest,P,word2vec_recipe_30_HYP,0.292784
corpse,M,word2vec_recipe_30_HYP,0.18841282
publisher,P,word2vec_recipe_30_HYP,0.15109299
accompany,P,word2vec_recipe_30_HYP,0.38273406
wildlife,M,word2vec_recipe_30_HYP,0.18440145
louse,P,word2vec_recipe_30_HYP,0.14542502
household,P,word2vec_recipe_30_HYP,0.27557945
lend,P,word2vec_recipe_30_HYP,0.27662364
despise,M,word2vec_recipe_30_HYP,0.1009218
attack,P,word2vec_recipe_30_HYP,0.32185736
cone,P,word2vec_recipe_30_HYP,0.3384874
rope,P,word2vec_recipe_30_HYP,0.32881093
agreement,P,word2vec_recipe_30_HYP,0.34065205
unable,M,word2vec_recipe_30_HYP,0.29567805
rainy,M,word2vec_recipe_30_HYP,0.35698086
gracious,P,word2vec_recipe_30_HYP,0.20848396
hind,H,word2vec_recipe_30_HYP,0.26291683
park,P,word2vec_recipe_30_HYP,0.3196069
detector,P,word2vec_recipe_30_HYP,0.19105448
armpit,M,word2vec_recipe_30_HYP,0.21928436
distance,P,word2vec_recipe_30_HYP,0.4227026
eager,M,word2vec_recipe_30_HYP,0.13198145
drum,P,word2vec_recipe_30_HYP,0.42670822
accident,P,word2vec_recipe_30_HYP,0.2072192
moon,P,word2vec_recipe_30_HYP,0.407947
pansy,P,word2vec_recipe_30_HYP,0.2912579
reality,P,word2vec_recipe_30_HYP,0.13376068
equal,P,word2vec_recipe_30_HYP,0.41564065
regain,P,word2vec_recipe_30_HYP,0.25636098
dominion,P,word2vec_recipe_30_HYP,0.1697693
pudding,P,word2vec_recipe_30_HYP,0.407014
wing,P,word2vec_recipe_30_HYP,0.40330657
greedy,P,word2vec_recipe_30_HYP,0.16446742
hoof,P,word2vec_recipe_30_HYP,0.23343025
poorly,P,word2vec_recipe_30_HYP,0.13510798
mink,P,word2vec_recipe_30_HYP,0.24005401
plumber,P,word2vec_recipe_30_HYP,0.13071038
toaster,H,word2vec_recipe_30_HYP,0.45850536
disposal,P,word2vec_recipe_30_HYP,0.28310153
pleasant,P,word2vec_recipe_30_HYP,0.28279752
airtight,P,word2vec_recipe_30_HYP,0.4057384
cancer,P,word2vec_recipe_30_HYP,0.21551365
critical,P,word2vec_recipe_30_HYP,0.3066421
cloak,P,word2vec_recipe_30_HYP,0.19790775
honor,P,word2vec_recipe_30_HYP,0.2409427
continue,P,word2vec_recipe_30_HYP,0.47595912
placement,P,word2vec_recipe_30_HYP,0.32908535
panic,P,word2vec_recipe_30_HYP,0.306773
rotation,P,word2vec_recipe_30_HYP,0.3332337
bug,P,word2vec_recipe_30_HYP,0.31464595
plaster,P,word2vec_recipe_30_HYP,0.33541623
territory,P,word2vec_recipe_30_HYP,0.18366216
infection,P,word2vec_recipe_30_HYP,0.18959479
heater,P,word2vec_recipe_30_HYP,0.3444936
tailor,P,word2vec_recipe_30_HYP,0.16840345
folder,P,word2vec_recipe_30_HYP,0.25604934
various,P,word2vec_recipe_30_HYP,0.39359435
